0.000000,0.000000,0.000000,0.000000 
1.000000,1.000000,1.000000,0.000000 
0.666667,0.500000,0.500000,2.000000 
0.500000,0.333333,0.333333,1.000000 
0.400000,0.250000,0.250000,0.666667 
0.333333,0.200000,0.200000,0.500000 
0.285714,0.166667,0.166667,0.400000 
0.250000,0.142857,0.142857,0.333333 
0.222222,0.125000,0.125000,0.285714 
0.200000,0.111111,0.111111,0.250000 
0.181818,0.100000,0.100000,0.222222 
0.166667,0.090909,0.090909,0.200000 
0.153846,0.083333,0.083333,0.181818 
0.142857,0.076923,0.076923,0.166667 
0.133333,0.071429,0.071429,0.153846 
0.125000,0.066667,0.066667,0.142857 
0.117647,0.062500,0.062500,0.133333 
0.111111,0.058824,0.058824,0.125000 
0.105263,0.055556,0.055556,0.117647 
0.100000,0.052632,0.052632,0.111111 
0.095238,0.050000,0.050000,0.105263 
0.090909,0.047619,0.047619,0.100000 
0.086957,0.045455,0.045455,0.095238 
0.083333,0.043478,0.043478,0.090909 
0.080000,0.041667,0.041667,0.086957 
